구별,CCTV댓수,최근증가율(%),인구수,외국인,고령자,외국인비율(%),고령자비율(%)
종로구,1772,488.1,155106,9077,27605,5.85,17.8
중구,2333,126.61,132259,9243,23980,6.99,18.13
용산구,2383,127.17,240665,14287,38884,5.94,16.16
성동구,3602,216.8,295767,6605,45591,2.23,15.41
광진구,2588,89.05,355306,12825,50815,3.61,14.3
동대문구,2497,286.96,352259,14219,61262,4.04,17.39
중랑구,3296,52.34,394679,4707,70172,1.19,17.78
성북구,3958,105.79,443206,9548,73568,2.15,16.6
강북구,2462,22.37,306093,3448,63383,1.13,20.71
도봉구,1629,120.75,322419,2054,62894,0.64,19.51
노원구,2415,150.65,520005,4008,86697,0.77,16.67
은평구,3791,84.85,479409,4038,85921,0.84,17.92
서대문구,2940,200.82,317699,10629,53627,3.35,16.88
마포구,2421,111.17,379984,9852,53891,2.59,14.18
양천구,3312,348.17,454288,3296,66942,0.73,14.74
강서구,2560,127.33,582995,5476,90404,0.94,15.51
구로구,4075,204.79,424582,25316,71186,5.96,16.77
금천구,2374,66.9,244685,14517,40181,5.93,16.42
영등포구,3778,94.89,402375,24954,61571,6.2,15.3
동작구,2297,119.6,397231,9384,65732,2.36,16.55
관악구,4942,200.37,502698,13898,78647,2.76,15.64
서초구,3704,206.88,422174,3767,60395,0.89,14.31
강남구,6502,162.24,536107,4732,76184,0.88,14.21
송파구,2854,49.21,664341,5671,95164,0.85,14.32
강동구,2547,89.09,469094,3885,72275,0.83,15.41
