기간	행정구역별	구분	계	0~4세	5~9세	10~14세	15~19세	20~24세	25~29세	30~34세	35~39세	40~44세	45~49세	50~54세	55~59세	60~64세	65~69세	70~74세	75~79세	80~84세	85~89세	90~94세	95~99세	100세 이상
2021.3/4	합계	계	9,765,869	255,013	349,581	373,630	397,132	645,182	851,617	755,190	734,204	748,399	773,990	820,086	732,328	737,178	559,216	399,791	298,695	196,626	94,072	33,398	7,967	2,574
2021.3/4	합계	한국인	9,542,256	249,704	343,463	369,513	392,355	613,118	823,305	731,153	712,953	731,891	758,141	799,602	706,713	726,096	554,379	398,001	298,014	196,226	93,841	33,306	7,930	2,552
2021.3/4	합계	등록외국인	223,613	5,309	6,118	4,117	4,777	32,064	28,312	24,037	21,251	16,508	15,849	20,484	25,615	11,082	4,837	1,790	681	400	231	92	37	22
2021.3/4	종로구	계	154,318	2,934	4,475	5,129	5,831	13,090	14,260	10,970	9,914	10,500	11,741	13,545	12,348	11,805	8,867	6,338	5,468	4,073	2,027	743	203	57
2021.3/4	종로구	한국인	145,512	2,825	4,323	5,005	5,560	10,148	12,888	10,234	9,283	9,940	11,286	13,081	11,840	11,543	8,748	6,277	5,450	4,061	2,020	740	203	57
2021.3/4	종로구	등록외국인	8,806	109	152	124	271	2,942	1,372	736	631	560	455	464	508	262	119	61	18	12	7	3	-	-
2021.3/4	중구	계	131,943	3,177	3,704	3,314	3,736	9,028	12,282	11,272	10,520	9,522	9,280	10,964	10,516	10,403	8,042	5,752	4,647	3,243	1,663	662	155	61
2021.3/4	중구	한국인	122,858	2,984	3,412	3,096	3,496	7,417	10,901	10,305	9,638	8,850	8,672	10,343	9,818	10,063	7,845	5,670	4,603	3,219	1,653	659	153	61
2021.3/4	중구	등록외국인	9,085	193	292	218	240	1,611	1,381	967	882	672	608	621	698	340	197	82	44	24	10	3	2	-
2021.3/4	용산구	계	238,300	6,409	7,802	7,628	8,317	14,192	21,086	21,296	20,186	18,524	18,501	20,421	17,828	17,204	12,545	8,990	7,356	5,571	2,957	1,096	294	97
2021.3/4	용산구	한국인	224,145	5,877	7,001	7,001	7,873	13,448	19,695	19,539	18,235	16,888	17,211	19,284	16,984	16,708	12,294	8,851	7,288	5,543	2,948	1,092	290	95
2021.3/4	용산구	등록외국인	14,155	532	801	627	444	744	1,391	1,757	1,951	1,636	1,290	1,137	844	496	251	139	68	28	9	4	4	2
2021.3/4	성동구	계	294,140	9,511	10,236	9,082	10,268	20,392	26,290	23,977	24,422	22,473	21,930	24,663	22,625	22,218	15,699	11,277	8,949	6,018	2,876	951	199	84
2021.3/4	성동구	한국인	287,820	9,392	10,123	9,017	10,149	18,890	25,173	23,317	23,917	22,076	21,555	24,216	22,124	21,995	15,594	11,240	8,931	6,013	2,871	949	197	81
2021.3/4	성동구	등록외국인	6,320	119	113	65	119	1,502	1,117	660	505	397	375	447	501	223	105	37	18	5	5	2	2	3
2021.3/4	광진구	계	353,380	7,869	10,888	12,215	13,309	28,187	38,645	30,446	26,458	25,541	26,551	29,269	26,705	26,019	18,604	12,582	9,490	6,385	2,915	978	250	74
2021.3/4	광진구	한국인	341,112	7,557	10,580	12,014	13,057	25,431	36,641	29,263	25,528	24,880	25,926	28,343	25,416	25,478	18,423	12,525	9,473	6,373	2,905	977	249	73
2021.3/4	광진구	등록외국인	12,268	312	308	201	252	2,756	2,004	1,183	930	661	625	926	1,289	541	181	57	17	12	10	1	1	1
2021.3/4	동대문구	계	351,626	8,961	11,105	11,061	12,386	31,446	33,706	25,781	25,183	24,957	25,105	27,746	25,579	26,851	20,832	15,166	12,299	8,141	3,813	1,156	267	85
2021.3/4	동대문구	한국인	337,846	8,810	10,937	10,968	12,011	26,043	30,554	24,533	24,461	24,460	24,700	27,263	24,957	26,595	20,714	15,123	12,286	8,126	3,801	1,153	266	85
2021.3/4	동대문구	등록외국인	13,780	151	168	93	375	5,403	3,152	1,248	722	497	405	483	622	256	118	43	13	15	12	3	1	-
2021.3/4	중랑구	계	393,149	9,802	12,195	12,209	13,679	22,971	32,969	29,708	28,419	28,156	28,503	34,666	33,995	34,969	25,656	17,837	13,310	8,582	3,833	1,312	296	82
2021.3/4	중랑구	한국인	388,554	9,620	12,049	12,108	13,606	22,533	32,324	28,993	27,912	27,808	28,187	34,282	33,561	34,785	25,580	17,803	13,304	8,581	3,830	1,310	296	82
2021.3/4	중랑구	등록외국인	4,595	182	146	101	73	438	645	715	507	348	316	384	434	184	76	34	6	1	3	2	-	-
2021.3/4	성북구	계	441,717	11,670	16,481	17,461	19,414	34,997	36,090	29,398	31,063	32,627	36,156	38,166	31,655	32,304	24,602	17,946	14,746	10,139	4,689	1,651	351	111
2021.3/4	성북구	한국인	432,628	11,526	16,346	17,367	19,030	31,923	34,202	28,443	30,418	32,188	35,809	37,818	31,339	32,152	24,514	17,907	14,727	10,128	4,680	1,651	350	110
2021.3/4	성북구	등록외국인	9,089	144	135	94	384	3,074	1,888	955	645	439	347	348	316	152	88	39	19	11	9	-	1	1
2021.3/4	강북구	계	304,257	5,940	8,681	9,846	11,301	19,384	23,240	18,976	19,209	21,066	23,899	27,099	25,048	26,654	20,719	16,270	13,163	8,568	3,697	1,161	282	54
2021.3/4	강북구	한국인	300,887	5,862	8,607	9,812	11,251	18,821	22,749	18,533	18,868	20,795	23,679	26,871	24,748	26,492	20,661	16,239	13,151	8,562	3,695	1,158	281	52
2021.3/4	강북구	등록외국인	3,370	78	74	34	50	563	491	443	341	271	220	228	300	162	58	31	12	6	2	3	1	2
2021.3/4	도봉구	계	320,711	7,117	10,417	11,556	13,079	19,773	22,881	19,397	20,534	21,961	24,950	29,142	27,191	29,265	21,914	15,453	12,026	8,361	3,901	1,363	307	123
2021.3/4	도봉구	한국인	318,718	7,066	10,386	11,532	13,042	19,519	22,564	19,102	20,307	21,798	24,781	28,968	27,056	29,196	21,881	15,445	12,024	8,358	3,900	1,363	307	123
2021.3/4	도봉구	등록외국인	1,993	51	31	24	37	254	317	295	227	163	169	174	135	69	33	8	2	3	1	-	-	-
2021.3/4	노원구	계	517,038	12,455	18,701	23,698	27,425	37,415	35,260	30,934	33,156	38,113	44,833	47,821	39,617	40,073	30,402	21,123	16,129	11,457	5,764	2,075	458	129
2021.3/4	노원구	한국인	513,053	12,384	18,656	23,660	27,264	36,244	34,577	30,466	32,807	37,869	44,643	47,623	39,431	39,967	30,363	21,105	16,119	11,452	5,762	2,074	458	129
2021.3/4	노원구	등록외국인	3,985	71	45	38	161	1,171	683	468	349	244	190	198	186	106	39	18	10	5	2	1	-	-
2021.3/4	은평구	계	477,961	11,841	16,429	17,798	19,839	28,901	37,810	33,592	34,382	36,221	38,743	41,309	36,451	37,921	28,929	21,606	17,089	11,568	5,178	1,684	383	287
2021.3/4	은평구	한국인	474,062	11,743	16,344	17,725	19,725	28,650	37,327	33,072	33,885	35,859	38,451	40,929	36,097	37,734	28,825	21,563	17,065	11,548	5,170	1,681	382	287
2021.3/4	은평구	등록외국인	3,899	98	85	73	114	251	483	520	497	362	292	380	354	187	104	43	24	20	8	3	1	-
2021.3/4	서대문구	계	316,415	8,314	11,095	10,881	12,473	25,219	29,290	23,249	22,735	22,704	23,983	26,345	23,061	23,010	17,082	12,767	10,829	7,899	3,807	1,266	286	120
2021.3/4	서대문구	한국인	306,249	8,220	10,930	10,706	12,102	22,175	27,265	22,260	22,044	22,148	23,545	25,922	22,647	22,680	16,881	12,665	10,764	7,854	3,778	1,260	284	119
2021.3/4	서대문구	등록외국인	10,166	94	165	175	371	3,044	2,025	989	691	556	438	423	414	330	201	102	65	45	29	6	2	1
2021.3/4	마포구	계	379,525	10,709	13,579	13,830	14,438	27,567	38,310	33,727	32,189	30,423	30,889	30,540	25,232	23,832	17,495	12,881	10,777	7,640	3,766	1,308	283	110
2021.3/4	마포구	한국인	369,903	10,560	13,381	13,702	14,194	25,478	36,389	32,469	31,288	29,763	30,403	30,064	24,756	23,556	17,308	12,792	10,743	7,612	3,755	1,302	281	107
2021.3/4	마포구	등록외국인	9,622	149	198	128	244	2,089	1,921	1,258	901	660	486	476	476	276	187	89	34	28	11	6	2	3
2021.3/4	양천구	계	452,255	10,992	19,192	24,709	25,014	27,960	30,622	26,856	29,980	36,744	40,920	41,658	35,280	34,448	25,854	17,420	11,612	7,467	3,760	1,358	330	79
2021.3/4	양천구	한국인	449,010	10,938	19,113	24,638	24,970	27,808	30,308	26,463	29,596	36,440	40,617	41,274	34,837	34,276	25,776	17,376	11,602	7,460	3,756	1,355	330	77
2021.3/4	양천구	등록외국인	3,245	54	79	71	44	152	314	393	384	304	303	384	443	172	78	44	10	7	4	3	-	2
2021.3/4	강서구	계	581,265	16,171	21,540	21,321	22,493	33,647	53,604	51,388	48,065	46,157	44,464	44,181	41,405	45,324	34,192	23,516	15,761	10,267	5,154	2,041	479	95
2021.3/4	강서구	한국인	575,875	15,999	21,414	21,250	22,445	33,403	53,029	50,606	47,335	45,630	44,039	43,671	40,758	45,029	34,058	23,461	15,731	10,257	5,148	2,038	479	95
2021.3/4	강서구	등록외국인	5,390	172	126	71	48	244	575	782	730	527	425	510	647	295	134	55	30	10	6	3	-	-
2021.3/4	구로구	계	422,361	12,553	15,430	14,968	15,142	23,263	32,633	32,991	32,781	32,847	33,095	35,745	35,009	33,974	26,078	18,889	13,267	8,300	3,809	1,234	302	51
2021.3/4	구로구	한국인	397,506	11,753	14,571	14,467	14,858	22,604	31,508	30,737	30,320	30,837	30,758	32,236	30,065	32,048	25,258	18,660	13,205	8,264	3,784	1,224	298	51
2021.3/4	구로구	등록외국인	24,855	800	859	501	284	659	1,125	2,254	2,461	2,010	2,337	3,509	4,944	1,926	820	229	62	36	25	10	4	-
2021.3/4	금천구	계	244,887	5,820	7,071	6,890	7,676	14,176	23,951	20,878	17,819	16,499	17,989	21,617	22,713	21,097	14,803	10,528	7,559	4,742	2,138	723	150	48
2021.3/4	금천구	한국인	230,644	5,328	6,541	6,587	7,528	13,866	23,317	19,651	16,439	15,390	16,550	19,468	19,844	20,058	14,382	10,406	7,526	4,724	2,127	718	147	47
